WELL_ID	Year	Month	Rate
15	1395	1	1,589
15	1395	2	1,349
15	1395	3	1,068
15	1395	4	1,000
15	1395	5	1,000
15	1395	6	994
15	1395	7	1,011
15	1395	8	1,019
15	1395	9	982
15	1395	10	1,000
15	1395	11	1,002
15	1395	12	1,000
15	1396	1	1,003
15	1396	2	999
15	1396	3	1,000
15	1396	4	993
15	1396	5	1,001
15	1396	6	1,001
15	1396	7	1,000
15	1396	8	1,000
15	1396	9	996
15	1396	10	0
15	1396	11	499
15	1396	12	499
15	1397	1	503
15	1397	2	0
15	1397	3	0
15	1397	4	0
15	1397	5	0
15	1397	6	0
15	1397	7	516
15	1397	8	1,499
15	1397	9	1,498
15	1397	10	1,456
15	1397	11	0
15	1397	12	0
15	1398	1	0
15	1398	2	1,144
15	1398	3	742
15	1398	4	499
15	1398	5	500
15	1398	6	474
15	1398	7	485
15	1398	8	0
15	1398	9	444
15	1398	10	744
15	1398	11	995
15	1398	12	996
15	1399	1	1,001
15	1399	2	500
15	1399	3	502
15	1399	4	0
15	1399	5	0
15	1399	6	0
15	1399	7	0
15	1399	8	0
15	1399	9	0
15	1399	10	0
15	1399	11	514
15	1399	12	502
15	1400	1	0
15	1400	2	0
15	1400	3	0
15	1400	4	0
15	1400	5	0
15	1400	6	0
15	1400	7	0
15	1400	8	0
15	1400	9	0
15	1400	10	0
15			
17	1382	5	979
17	1382	6	1,068
17	1382	7	970
17	1382	8	916
17	1382	9	960
17	1382	10	947
17	1382	11	946
17	1382	12	954
17	1383	1	985
17	1383	2	960
17	1383	3	941
17	1383	4	948
17	1383	5	958
17	1383	6	976
17	1383	7	959
17	1383	8	956
17	1383	9	967
17	1383	10	993
17	1383	11	939
17	1383	12	968
17	1384	1	982
17	1384	2	976
17	1384	3	976
17	1384	4	972
17	1384	5	968
17	1384	6	969
17	1384	7	0
17	1384	8	0
17	1384	9	0
17	1384	10	930
17	1384	11	946
17	1384	12	1,010
17	1385	1	981
17	1385	2	912
17	1385	3	967
17	1385	4	992
17	1385	5	1,022
17	1385	6	997
17	1385	7	1,012
17	1385	8	1,009
17	1385	9	1,016
17	1385	10	985
17	1385	11	1,009
17	1385	12	962
17	1386	1	970
17	1386	2	987
17	1386	3	956
17	1386	4	955
17	1386	5	971
17	1386	6	997
17	1386	7	991
17	1386	8	1,006
17	1386	9	1,013
17	1386	10	917
17	1386	11	967
17	1386	12	971
17	1387	1	1,016
17	1387	2	1,011
17	1387	3	1,013
17	1387	4	986
17	1387	5	965
17	1387	6	1,014
17	1387	7	971
17	1387	8	983
17	1387	9	946
17	1387	10	985
17	1387	11	961
17	1387	12	1,005
17	1388	1	1,007
17	1388	2	1,038
17	1388	3	988
17	1388	4	1,002
17	1388	5	970
17	1388	6	982
17	1388	7	987
17	1388	8	996
17	1388	9	1,000
17	1388	10	996
17	1388	11	1,005
17	1388	12	1,028
17	1389	1	1,025
17	1389	2	991
17	1389	3	993
17	1389	4	1,000
17	1389	5	1,132
17	1389	6	1,001
17	1389	7	974
17	1389	8	1,018
17	1389	9	1,015
17	1389	10	1,001
17	1389	11	1,001
17	1389	12	1,000
17	1390	1	1,000
17	1390	2	998
17	1390	3	1,008
17	1390	4	998
17	1390	5	993
17	1390	6	990
17	1390	7	1,003
17	1390	8	1,007
17	1390	9	1,010
17	1390	10	1,002
17	1390	11	1,000
17	1390	12	1,004
17	1391	1	1,014
17	1391	2	1,012
17	1391	3	1,018
17	1391	4	1,024
17	1391	5	986
17	1391	6	1,048
17	1391	7	1,010
17	1391	8	0
17	1391	9	0
17	1391	10	0
17	1391	11	0
17	1391	12	0
17	1392	1	975
17	1392	2	986
17	1392	3	1,000
17	1392	4	985
17	1392	5	991
17	1392	6	0
17	1392	7	0
17	1392	8	0
17	1392	9	0
17	1392	10	0
17	1392	11	0
17	1392	12	0
17	1393	1	0
17	1393	2	0
17	1393	3	1,032
17	1393	4	1,011
17	1393	5	1,234
17	1393	6	1,505
17	1393	7	1,499
17	1393	8	1,499
17	1393	9	1,507
17	1393	10	1,500
17	1393	11	1,499
17	1393	12	1,491
17	1394	1	1,501
17	1394	2	1,501
17	1394	3	1,493
17	1394	4	1,436
17	1394	5	1,501
17	1394	6	1,497
17	1394	7	1,501
17	1394	8	1,500
17	1394	9	1,552
17	1394	10	1,468
17	1394	11	1,336
17	1394	12	1,288
17	1395	1	1,564
17	1395	2	1,624
17	1395	3	1,602
17	1395	4	1,500
17	1395	5	1,501
17	1395	6	1,517
17	1395	7	1,518
17	1395	8	1,529
17	1395	9	1,473
17	1395	10	1,544
17	1395	11	1,490
17	1395	12	1,472
17	1396	1	1,468
17	1396	2	1,563
17	1396	3	1,566
17	1396	4	1,550
17	1396	5	1,566
17	1396	6	1,527
17	1396	7	1,527
17	1396	8	1,553
17	1396	9	1,636
17	1396	10	1,563
17	1396	11	1,517
17	1396	12	1,527
17	1397	1	1,536
17	1397	2	1,527
17	1397	3	1,523
17	1397	4	1,500
17	1397	5	1,459
17	1397	6	1,228
17	1397	7	996
17	1397	8	979
17	1397	9	1,000
17	1397	10	1,009
17	1397	11	1,025
17	1397	12	981
17	1398	1	967
17	1398	2	979
17	1398	3	987
17	1398	4	984
17	1398	5	986
17	1398	6	1,024
17	1398	7	1,037
17	1398	8	1,054
17	1398	9	920
17	1398	10	1,010
17	1398	11	988
17	1398	12	995
17	1399	1	990
17	1399	2	1,009
17	1399	3	981
17	1399	4	941
17	1399	5	962
17	1399	6	914
17	1399	7	934
17	1399	8	986
17	1399	9	979
17	1399	10	995
17	1399	11	969
17	1399	12	975
17	1400	1	970
17	1400	2	943
17	1400	3	1,014
17	1400	4	982
17	1400	5	995
17	1400	6	996
17	1400	7	997
17	1400	8	1,006
17	1400	9	1,001
17	1400	10	1,000
17			
34	1379	1	1,456
34	1379	2	1,524
34	1379	3	2,347
34	1379	4	2,604
34	1379	5	3,303
34	1379	6	3,520
34	1379	7	3,454
34	1379	8	3,891
34	1379	9	3,871
34	1379	10	3,594
34	1379	11	3,455
34	1379	12	3,351
34	1380	1	3,515
34	1380	2	3,514
34	1380	3	3,371
34	1380	4	3,285
34	1380	5	3,491
34	1380	6	3,778
34	1380	7	3,586
34	1380	8	3,260
34	1380	9	3,155
34	1380	10	2,968
34	1380	11	2,944
34	1380	12	3,165
34	1381	1	3,074
34	1381	2	2,440
34	1381	3	2,089
34	1381	4	2,086
34	1381	5	2,122
34	1381	6	1,914
34	1381	7	1,872
34	1381	8	1,881
34	1381	9	1,223
34	1381	10	2,074
34	1381	11	2,123
34	1381	12	1,949
34	1382	1	1,954
34	1382	2	1,872
34	1382	3	2,062
34	1382	4	2,156
34	1382	5	1,931
34	1382	6	2,008
34	1382	7	1,956
34	1382	8	1,920
34	1382	9	1,921
34	1382	10	1,894
34	1382	11	1,892
34	1382	12	1,912
34	1383	1	1,915
34	1383	2	1,921
34	1383	3	1,887
34	1383	4	1,893
34	1383	5	1,919
34	1383	6	1,953
34	1383	7	1,918
34	1383	8	1,921
34	1383	9	1,936
34	1383	10	1,978
34	1383	11	1,880
34	1383	12	1,975
34	1384	1	1,966
