,NPD_FIELD_CODE,NPD_FACILITY_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE
2895,0.0,0.0,0.96,0.0,0.0,0.16707071499889817,0.50481949375,0.38537782920036845,0.9416556595692798,0.163133537952961
2896,0.0,0.0,0.96,0.0,0.0,0.16668465769678842,0.506349825,0.38448732050149215,0.948207837778161,0.16221397959126402
2897,0.0,0.0,0.96,0.0,0.0,0.1666917950420594,0.50673040625,0.38450378403686875,0.951165625061832,0.16239788488552095
2898,0.0,0.0,0.96,0.0,0.0,0.1648384676754967,0.5147145666666667,0.38022876027026625,0.9528694521982853,0.1574345886688679
2899,0.0,0.0,0.96,0.0,0.0,0.16607613504535532,0.5098221875,0.3830836565593699,0.9456314463381774,0.16063707758731882
2900,0.0,0.0,0.96,0.0,0.0,0.16670615458354038,0.5068311979166668,0.38453690683115554,0.9508400501452163,0.16276592709913504
2901,0.0,0.0,0.96,0.0,0.0,0.16727729940967004,0.5044452354166667,0.38585435228085224,0.949987916011363,0.16401201978510724
2902,0.0,0.0,0.96,0.0,0.0,0.16788461704621635,0.5038979541666666,0.3872552366453494,0.9364249100821334,0.16549332272503803
2903,0.0,0.0,0.92,0.0,0.0,0.1733149875212049,0.45536526875,0.39978133606031063,0.8979793129290191,0.1771600301466417
2904,0.0,0.0,0.96,0.0,0.0,0.16548465364772344,0.48688515416666667,0.3817193012501029,0.9342116777898873,0.16012965609455318
2905,0.0,0.0,0.96,0.0,0.0,0.16370333913180943,0.5017907208333333,0.37761038772046024,0.9427041466944268,0.15508929164326996
2906,0.0,0.0,0.96,0.0,0.0,0.16503715794003562,0.49685948125000007,0.3806870741215702,0.9497203896256236,0.15871697867934706
2907,0.0,0.0,0.96,0.0,0.0,0.1666997070037707,0.49193988958333335,0.3845220343605658,0.9442789767374443,0.16282375127334453
2908,0.0,0.0,0.96,0.0,0.0,0.16676881437801128,0.49190512291666666,0.3846814426079462,0.9455926980343932,0.16281233500568457
2909,0.0,0.0,0.9400000000000001,0.0,0.0,0.16743505001276746,0.4923931729166667,0.38621823164161945,0.9361740139085502,0.16453037872509751
2910,0.0,0.0,0.96,0.0,0.0,0.16945572032301176,0.49679355625,0.390879261180499,0.9346020354335204,0.1700496452483675
